h5_path,file_id,training_group,scan_id,firstorder 10Percentile,firstorder 90Percentile,firstorder Energy,firstorder Entropy,firstorder InterquartileRange,firstorder Kurtosis,firstorder Maximum,firstorder MeanAbsoluteDeviation,firstorder Mean,firstorder Median,firstorder Minimum,firstorder Range,firstorder RobustMeanAbsoluteDeviation,firstorder RootMeanSquared,firstorder Skewness,firstorder TotalEnergy,firstorder Uniformity,firstorder Variance,glcm Autocorrelation,glcm ClusterProminence,glcm ClusterShade,glcm ClusterTendency,glcm Contrast,glcm Correlation,glcm DifferenceAverage,glcm DifferenceEntropy,glcm DifferenceVariance,glcm Id,glcm Idm,glcm Idmn,glcm Idn,glcm Imc1,glcm Imc2,glcm InverseVariance,glcm JointAverage,glcm JointEnergy,glcm JointEntropy,glcm MCC,glcm MaximumProbability,glcm SumAverage,glcm SumEntropy,glcm SumSquares,gldm DependenceEntropy,gldm DependenceNonUniformity,gldm DependenceNonUniformityNormalized,gldm DependenceVariance,gldm GrayLevelNonUniformity,gldm GrayLevelVariance,gldm HighGrayLevelEmphasis,gldm LargeDependenceEmphasis,gldm LargeDependenceHighGrayLevelEmphasis,gldm LargeDependenceLowGrayLevelEmphasis,gldm LowGrayLevelEmphasis,gldm SmallDependenceEmphasis,gldm SmallDependenceHighGrayLevelEmphasis,gldm SmallDependenceLowGrayLevelEmphasis,glrlm GrayLevelNonUniformity,glrlm GrayLevelNonUniformityNormalized,glrlm GrayLevelVariance,glrlm HighGrayLevelRunEmphasis,glrlm LongRunEmphasis,glrlm LongRunHighGrayLevelEmphasis,glrlm LongRunLowGrayLevelEmphasis,glrlm LowGrayLevelRunEmphasis,glrlm RunEntropy,glrlm RunLengthNonUniformity,glrlm RunLengthNonUniformityNormalized,glrlm RunPercentage,glrlm RunVariance,glrlm ShortRunEmphasis,glrlm ShortRunHighGrayLevelEmphasis,glrlm ShortRunLowGrayLevelEmphasis,glszm GrayLevelNonUniformity,glszm GrayLevelNonUniformityNormalized,glszm GrayLevelVariance,glszm HighGrayLevelZoneEmphasis,glszm LargeAreaEmphasis,glszm LargeAreaHighGrayLevelEmphasis,glszm LargeAreaLowGrayLevelEmphasis,glszm LowGrayLevelZoneEmphasis,glszm SizeZoneNonUniformity,glszm SizeZoneNonUniformityNormalized,glszm SmallAreaEmphasis,glszm SmallAreaHighGrayLevelEmphasis,glszm SmallAreaLowGrayLevelEmphasis,glszm ZoneEntropy,glszm ZonePercentage,glszm ZoneVariance,ngtdm Busyness,ngtdm Coarseness,ngtdm Complexity,ngtdm Contrast,ngtdm Strength
data_MRI\test\mri_00000273.h5,mri_00000273,test,273,538.0,1321.0,1556741322534.0,5.420472177746174,514.0,2.1281023414729443,2692.0,260.55297211027425,917.5099000518214,883.0,82.0,2610.0,206.54782826876746,966.2867854845135,-0.14586419929803876,1556741322534.0,0.026502318456133,91885.73510889082,1319.3399753088113,640896.2562988786,-1717.9550244686752,550.5888451651844,26.914516550471088,0.9066954990968649,3.6506644388717433,3.4243877466672354,13.237633939037908,0.37401959291459685,0.2954511027237609,0.9975928775118865,0.9674514967533383,-0.24660165982516616,0.9611357705890812,0.2844226269960012,34.47345338699965,0.0025536438082021315,9.476438355562198,0.9166089883965873,0.013328260902726059,68.94690677399936,6.384812094174337,144.3758404289139,8.440611755990874,212075.46024264905,0.12719968777748997,10.245315286310126,44186.361478446124,147.08507797760342,1318.105132720433,29.305372154619786,55787.76365350658,0.0814200957193449,0.0022401859096542673,0.21688966216738034,237.07377338481172,0.0004650882344882954,37414.882785374124,0.025776733098611244,140.79900949102344,1262.7417628177363,1.5394676189405276,2206.7995092366173,0.00358778098550622,0.0021986988855231195,6.0374768141415425,1146779.941893569,0.7894515446954263,0.8705468267865105,0.21766249583404337,0.9087642446933264,1114.9874491445398,0.0019736366173576736,10397.573898429599,0.026158866398717912,110.40122892493622,1058.7440990444754,39376.48233109757,98767249.53203951,17.39151890209101,0.0022068695692203065,136454.8120097213,0.343301546273558,0.6063368080499385,654.6202741412944,0.0013131304742112768,7.756847211545336,0.2384013569536678,39358.88760323731,15.255198930699823,1.4086722031134004e-05,8720.357148826395,0.05524315993345906,0.07968661931332748
data_MRI\test\mri_00041615.h5,mri_00041615,test,41615,513.0,1350.0,1571023970487.0,5.522757287706049,501.0,2.327546774163428,3147.0,265.42721251597663,918.2678298097961,880.0,118.0,3029.0,204.2699855487175,970.7093645028631,-0.06566312876831865,1571023970487.0,0.024222198198736222,99060.8630699597,1263.5676109756973,811870.5887552311,-963.8324485128627,594.7941063004887,28.87917349407708,0.9073033481726174,3.8815080692185377,3.4832908270788754,13.436013394216435,0.3453999592577872,0.26000338861147426,0.9980830297475366,0.9699664705051336,-0.23443253022394547,0.9578786441703102,0.2618335484753511,33.49755901469349,0.0017968219774347897,9.728969990307872,0.9123425553787254,0.007173524646815291,66.99511802938706,6.480200374207557,155.91831994864117,8.350265052485126,250374.8929695597,0.1501711144543154,5.340539051297759,40384.79905761775,158.58559176520583,1264.1977899120955,19.07332851905877,30878.942770910904,0.04584539109193012,0.0022509997171980727,0.23320466668896264,261.5278962457989,0.0005148790823086757,35863.21385326499,0.024008521180295353,154.61230242003745,1238.127442531149,1.3931316527654194,1834.1650514424962,0.0031628465541022194,0.002240613720819411,6.051197599938359,1224805.2106921605,0.8194461274751892,0.8959316211838909,0.14586202019268898,0.9236042602659167,1126.9237184983085,0.002062280033047416,10477.163159377043,0.024386536196059957,127.76991386765766,1085.735585819393,17672.443149787374,45450307.01159372,7.841800129570289,0.0022378377710337055,143877.42174527326,0.33488759312167765,0.5986779976527133,662.9379956851388,0.001331807307608659,7.909462042202095,0.2576850456796284,17657.38326780368,11.904730261320347,1.419683977564787e-05,15960.956724243646,0.040538639950101325,0.16849367175571706
data_MRI\test\mri_00062974.h5,mri_00062974,test,62974,532.0,1359.0,1548661594826.0,5.522763806570509,460.0,2.6142455543658794,3592.0,254.70264167035015,913.6850180895167,867.0,105.0,3487.0,191.27840538595444,963.7759345508458,0.09169010273460261,1548661594826.0,0.0245833085044043,94043.73973811576,1243.1664807514028,794432.7403555585,1321.7621990062669,562.7425399506599,29.59729248314511,0.8999829918940877,3.8505191967651373,3.478028031457979,14.383905483209569,0.3517543151868726,0.2679482452271706,0.9985098679085997,0.9738871006992493,-0.23484900060503466,0.9577881053656809,0.2674167310871842,33.3148293614976,0.0018256501446695763,9.7257497370361,0.9127903566388962,0.006959092743242079,66.62965872299526,6.4801898687079404,148.084958108451,8.421752676968218,240972.44655315534,0.1445316677821601,6.231412650414777,40986.865270287126,150.5472402670615,1243.9866331906644,21.025540046447354,34982.077552205286,0.0431430690004222,0.0021646137587594937,0.22755920682995112,248.85937853721973,0.0005140052459940167,36377.94543058161,0.024501042683682563,146.3828786838023,1212.59452340613,1.4229557097653611,1862.5761353794073,0.0030470457867393043,0.0021736584489368263,6.06660344407698,1208039.2817671984,0.8130634477823648,0.8905264045673722,0.16023604210855483,0.9204677146423552,1096.8223447967794,0.002004691200302233,10223.254112368384,0.02450344571857902,129.15941831762714,1060.0720728062374,11774.088308961524,31225285.860926088,4.899232569540618,0.0023454374905578657,140251.0730698893,0.33615857711907543,0.5999326570055402,648.7950723786419,0.0013895474304170265,7.915357178432839,0.2502405137998541,11758.119050358415,9.95286132499533,1.4429093838228543e-05,22265.91324474896,0.028724319126664233,0.2851170873562042
data_MRI\test\mri_00078322.h5,mri_00078322,test,78322,296.0,1438.0,1572013569105.0,5.879033570470495,665.0,1.9441520898705773,2995.0,346.4590460302244,881.929210371003,909.0,122.0,2873.0,271.3836744417038,971.0150445679546,0.007255255154840281,1572013569105.0,0.01779222210353529,165071.08467168623,1260.4852443608465,1974189.923716627,-328.50611961288945,1004.9191599692035,53.884400389891,0.8982287518930593,5.291207964969004,3.9082065701102597,25.136609439207692,0.29827053187789215,0.2128814957755865,0.9960737908683703,0.9579557451115097,-0.21111306820976536,0.9528681812463997,0.21475413277300223,31.98007267811228,0.0010230645186193063,10.51567658204333,0.9010288450448005,0.007423463037900689,63.960145356224594,6.853628697327027,264.7008900897741,8.488134662648019,299661.74701546965,0.1797326320339608,4.831809691413814,29664.331393228666,264.2023673019057,1275.2500731737746,14.90419753560324,16585.252997725616,0.16193857406265594,0.004542201972483635,0.31254948285968936,381.54857231792954,0.0008789016936951167,27032.679172393764,0.017693071033794642,255.1736068705262,1280.0718147783468,1.306569737037102,1646.652687597032,0.006914109502736588,0.004201818906829429,6.314175740867055,1305181.2354199828,0.8538935632748132,0.9163960559612357,0.11485770988922694,0.9394675395590094,1204.4338009159806,0.0037391638107299287,11696.838901719959,0.01960445108074852,191.06980192543546,1214.977554379343,2079.047200834001,334616.5410212489,52.7837012686634,0.0026630210781502348,233017.64878771524,0.39054851785109873,0.6488292469606418,769.4582887486112,0.0016861538342738192,7.875643772707793,0.35785694407124485,2071.2384583289077,17.42835470620401,1.4058214905568306e-05,15711.274912421073,0.11251651803333425,0.09468355036783963
data_MRI\test\mri_00087269.h5,mri_00087269,test,87269,528.0,1320.0,1540401800437.0,5.455430429067739,492.0,2.1662141248971634,2846.0,255.15809029921996,913.0551028511381,881.0,118.0,2728.0,198.09886987221435,961.2023465097162,-0.12311022026547716,1540401800437.0,0.025316196627098067,90240.33009328214,1234.3208363286628,635020.7329343506,-1466.6694338741966,543.2250377703739,27.369608674845512,0.9039950219405903,3.753131100946016,3.4434908556730046,12.918086529692765,0.35536558657285666,0.2717950984239018,0.9977678315826746,0.9679455511867057,-0.2348396417085523,0.9565536776544981,0.2715442944391971,33.246884264769015,0.0019992516236052482,9.610086074260145,0.9092065068794919,0.008482091996448093,66.49376852953813,6.4166389873560234,142.64866161130496,8.357287584460286,237236.0453233561,0.14229063023213848,6.2280653678925315,42208.783253282025,144.47217188224354,1236.2585367404322,21.33899250508618,34439.99251768166,0.045014754627213875,0.002157964246265952,0.22366674056122937,242.1817384316553,0.00048045169946693545,37060.92373922309,0.025005014049281522,140.57754982138985,1206.6260727529714,1.428787279578273,1851.9244307233905,0.0030705445802270575,0.0021606489077830374,6.011325943180119,1201226.2122491312,0.8099236961788486,0.8889508615496822,0.16162566294495478,0.9190095328196566,1090.3284735113582,0.001986162346955384,10470.800049346404,0.025579026432930186,114.48712699685191,1048.4918737220626,18280.062669933628,44847043.53707942,8.286577271958155,0.002206626045553956,136939.44294016625,0.33452817494073855,0.5982461517322851,638.7738290701863,0.0012859744885052738,7.840798090642519,0.24552260469847606,18263.47379112358,15.459526590744154,1.4049690525233726e-05,9738.762224488932,0.0523853810660395,0.08980085061679825
data_MRI\test\mri_00099700.h5,mri_00099700,test,99700,317.0,1422.0,1566622650543.0,5.82275395815204,621.0,2.0429877861153583,2947.0,323.6626960465485,888.1192426634294,897.0,91.0,2856.0,247.22731713398724,969.3486599195893,-0.08845204192094666,1566622650543.0,0.018545688522822762,150881.03529884,1323.7046972234812,1735022.046668313,-2652.7327360043255,919.6280199242597,44.686735524481506,0.9073098053932755,4.776684568426621,3.7726648019991864,21.238090776434618,0.31863314857014724,0.23450756842237233,0.9966813173554537,0.9614952525632504,-0.229622786004087,0.9611197376353282,0.23412341750017382,33.24105611977619,0.0011428021459085529,10.302527757102158,0.9137376037019208,0.005460796845285934,66.48211223955246,6.80249421934134,241.07868886218577,8.547881195085594,270959.9201254271,0.16251770572952276,5.942754225467316,30920.558829315574,241.48867731694037,1333.449092645196,17.944308759740508,27047.9848962132,0.1715275166566182,0.004023757573095457,0.283426856341913,326.39702054561155,0.0007695273803889313,28076.94979415997,0.018603725665444472,230.8726115359179,1315.5267339286058,1.358556405500965,1852.348203760752,0.0064635903322987,0.0037094936893453034,6.294589172809037,1264410.9501751524,0.8373151455675314,0.9052182313243549,0.13685450207678984,0.9318052035790191,1212.8560920541663,0.0032759410457138816,11302.581573989442,0.021083365804229592,166.05612141164727,1116.1096476337927,3457.966542931224,7379060.04486187,39.01925196948948,0.002638099215809258,202613.05601298288,0.3779459717826911,0.6377726202832802,703.6829081033557,0.001649164465014523,7.84369944966467,0.3215387605082338,3448.2941633082437,14.171458757192715,1.506183505273865e-05,14793.310618961303,0.0892307382544868,0.10499338582322915
data_MRI\test\mri_00105756.h5,mri_00105756,test,105756,518.0,1332.0,1516644951372.0,5.482492532284138,496.0,2.206259493799805,3326.0,259.78206929616124,903.0331753099689,854.0,88.0,3238.0,201.19053237951482,953.7614735033677,-0.010447820530471979,1516644951372.0,0.025313300741400917,94192.0326289102,1281.6104225766785,687844.5168848493,24.783804361272608,562.9941252694836,29.799767034578352,0.8993680994643765,3.8400950520636417,3.486320075387491,14.676539612483406,0.3598223503482378,0.278639149212867,0.9982844332156529,0.972282174450062,-0.23619841251134782,0.9577518552476119,0.27311078142598516,33.8867154474112,0.002088474589559029,9.643802803722442,0.9115289564557242,0.009649391663675752,67.77343089482262,6.443872557156495,148.1984730760154,8.435191481351712,227788.1731771333,0.1366239378869413,8.199137215404871,42203.95504731104,150.79060293798662,1282.5248275018234,24.745253301216845,45223.19033698322,0.03814646505434595,0.0019304300676195553,0.2272258192303815,248.9091093501183,0.0004663640466440342,36781.18030665523,0.025011415749590364,145.41627778908122,1237.802693823483,1.4726957274246415,2028.238530845361,0.002739166985818795,0.0019606524912535537,6.0565371095636165,1182263.1751508927,0.8033696389248617,0.8820118561815138,0.18533490735262026,0.9156826679220335,1106.8474788012109,0.0018114771802019915,10381.497370790392,0.024858955046718496,121.73673880171886,1062.375692023294,22414.071323895638,57952390.87629785,9.094741192922958,0.002121551514148201,144179.87087659477,0.3452450837051137,0.6082472629238393,660.5447765717445,0.0012595351487096785,7.816124160571668,0.2504798280296342,22398.13256551441,12.423907052831346,1.3650577829025828e-05,15679.024806103494,0.040438851779462756,0.1572368207037373
data_MRI\test\mri_00135829.h5,mri_00135829,test,135829,458.0,1412.0,1599388942715.0,5.67235634497543,519.0,2.3022362555811,3684.0,285.95701880032715,916.446794868719,874.0,79.0,3605.0,214.34736418751015,979.433283206181,-0.013156871800759957,1599388942715.0,0.021850671103022412,119414.8284268913,1357.9991094923985,1163743.2152078634,-241.66155598957596,714.9890263856962,35.66648095468934,0.9048780395688455,4.240614580740995,3.6142355736970107,17.223411382118318,0.33866741099493297,0.2551704288067263,0.9983231189033238,0.9723166941423637,-0.23400596698468062,0.9603794070044385,0.25302075422681886,34.46976992882146,0.0015361603010351857,9.993750901684411,0.9122090893723065,0.006774484968282086,68.93953985764313,6.638451722089415,187.66387683509623,8.518001469113056,251029.18220269855,0.15056354734625024,6.7684082484383294,36430.83730590956,191.15466690279192,1359.288260287513,20.68998670876358,39626.538026371345,0.06174552707226943,0.0026370620991010727,0.25169620217501204,299.7972830567703,0.0006070863230368959,32547.87171679134,0.02181312255089535,183.84016300495847,1319.817406007648,1.4069317324000172,2030.9622433990116,0.003791754588527973,0.0026069124163750367,6.1907796226869385,1227110.7164012,0.8218962409033348,0.8949552634182063,0.15688913077505515,0.9245903605417829,1196.5041942541864,0.002390211291366336,10480.533870497844,0.02228729554999361,150.1281155252112,1159.5754401410322,8213.915223276279,24698213.287331976,4.007838289507579,0.002411371195046099,166542.30757665652,0.3541592132999392,0.6165393244783127,729.6901993689883,0.0014655319613354162,7.9112293846851,0.2820471143142298,8201.344603845064,10.610864582204783,1.4166779389561712e-05,22243.754938116253,0.04498735054176351,0.21550776489359766
data_MRI\test\mri_00142010.h5,mri_00142010,test,142010,526.0,1328.0,1543592921668.0,5.467847723244927,491.0,2.3363635708363564,3467.0,257.34972071099253,912.6928212928486,873.0,91.0,3376.0,198.43507279023336,962.1974525540627,-0.08569373614476619,1543592921668.0,0.025509043879736036,92815.75166202796,1305.6062071937288,691613.2446617796,-1087.4349877501563,553.3466828919973,29.22508203091741,0.899560200140048,3.7904996901647316,3.469299758108624,14.484378644397536,0.3629602262249586,0.28222711211512663,0.998438063472073,0.9735848247993051,-0.23688034490590773,0.9576539339156802,0.2763572523960157,34.272051543512106,0.0021309290847259747,9.612580193288872,0.9087690839580186,0.009539886348322792,68.5441030870244,6.430323862874207,145.64294123072835,8.45316675633308,223292.9829481114,0.1339277900489133,8.220671087132057,42530.31053510422,148.5808585458822,1306.4866062003377,25.174064815170244,45395.37668239703,0.04242539817701805,0.00197601904053534,0.22350751293982962,250.82380033607456,0.00046897208478380217,36900.20865803171,0.025146756261448758,143.9709912828518,1264.5374403728733,1.4817544829436136,2064.856217893519,0.0028475155278720374,0.0020002575315744265,6.053463757739115,1175510.495803919,0.8004827945619871,0.8800980805402421,0.18865695737850074,0.9142744087984418,1130.876704122458,0.001842069142581067,10216.419546526073,0.024983174577988695,123.7782269166402,1088.938319818454,24727.358758913462,63190334.90144327,10.237929983644129,0.0021784843762078245,141671.20043430204,0.3464419522910949,0.6094538144348365,675.7855309302915,0.0013005060919697704,7.8208594186918,0.24527129476795517,24710.735868085987,10.758868169393338,1.3880124102290076e-05,18679.650560592872,0.033063436777119204,0.2170593858358028
